,Title,CDID
28,CPI INDEX 10 : EDUCATION- estimated pre-97 2005=100                     ,D7C5
29,CPI INDEX 09 : RECREATION & CULTURE- estimated pre-97 2005=100          ,D7C4
30,CPI INDEX 08 : COMMUNICATION- estimated pre-97 2005=100                 ,D7C3
31,CPI INDEX 07 : TRANSPORT- estimated pre-97 2005=100                     ,D7C2
32,CPI INDEX 04.3.2 : SERVICES FOR THE REGULAR REPAIR OF DWELLING 2005=100 ,D7DO
33,RPI: Percentage change over 1 month - Entertainment and other recreations,SGVI
34,CPI INDEX 04.3.1 : PRODUCTS FOR THE REGULAR REPAIR OF DWELLING 2005=100 ,D7DN
35,"CPI INDEX 03.1.4 : DRY-CLEANING, REPAIR AND HIRE OF CLOTHING 2005=100   ",D7DM
36,CPI INDEX 03.1.3 :OTHER ARTICLES OF CLOTHING & ACCESSORIES 2005=100     ,D7DL
37,CPI INDEX 03.1.2 : GARMENTS 2005=100                                    ,D7DK
38,CPI INDEX 02.1.3 : BEER 2005=100                                        ,D7DI
39,CPI INDEX 02.1.2 : WINE (INC PERRY) 2005=100                            ,D7DH
40,CPI INDEX 02.1.1 : SPIRITS 2005=100                                     ,D7DG
41,"CPI INDEX 01.2.2 : MINERAL WATERS, SOFT DRINKS AND JUICES 2005=100      ",D7DF
42,"CPI INDEX 01.2.1 : COFFEE, TEA, COCOA 2005=100                          ",D7DE
43,CPI INDEX 01.1.9 : FOOD PRODUCTS 2005=100                               ,D7DD
44,RPI: Percentage change over 1 month - Foreign holidays                  ,SGVL
45,"CPI INDEX 01.1.8 : SUGAR, JAM, HONEY, SYRUPS, CHOCOLATE & CONFECTIONERY 2005=100",D7DC
46,RPI: Percentage change over 1 month - UK holidays                       ,SGVM
47,CPI INDEX 01.1.7 : VEGETABLES INCLUDING POTATOES AND OTHER TUBERS 2005=100,D7DB
48,CPI INDEX 01.1.6 : FRUIT 2005=100                                       ,D7DA
49,CPI INDEX 12.6.2 : FINANCIAL SERVICES N.E.C. 2005=100                   ,D7CZ
50,CPI INDEX 12.1 : PERSONAL CARE 2005=100                                 ,D7CY
51,CPI INDEX 11.2 : ACCOMMODATION SERVICES 2005=100                        ,D7CX
52,CPI INDEX 01.1.5 : OILS & FATS 2005=100                                 ,D7D9
53,CPI INDEX 11.1 : CATERING 2005=100                                      ,D7CW
54,"CPI INDEX 01.1.4 : MILK, CHEESE & EGGS 2005=100                         ",D7D8
55,CPI INDEX 09.4 : RECREATIONAL AND CULTURAL SERVICES 2005=100            ,D7CV
56,CPI INDEX 01.1.3 : FISH 2005=100                                        ,D7D7
57,CPI INDEX 09.3 : OTHER RECREATIONAL ITEMS AND EQUIPMENT GARDENS & PETS 2005=100,D7CU
58,CPI INDEX 01.1.2 : MEAT 2005=100                                        ,D7D6
59,CPI INDEX 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE 2005=100,D7CT
60,CPI INDEX 01.1.1 : BREAD & CEREALS 2005=100                             ,D7D5
61,CPI INDEX 09.1 : AUDIO-VISUAL PHOTOGRAPHIC AND DATA PROCESSING EQUIP 2005=100,D7CS
62,CPI INDEX 12.6 : FINANCIAL SERVICES N.E.C. 2005=100                     ,D7D4
63,CPI INDEX 08.1 : POSTAL SERVICES 2005=100                               ,D7CR
64,CPI INDEX 12.5 : INSURANCE 2005=100                                     ,D7D3
65,CPI INDEX 07.3 : TRANSPORT SERVICES 2005=100                            ,D7CQ
66,CPI INDEX 12.4 : SOCIAL PROTECTION 2005=100                             ,D7D2
67,CPI INDEX 07.2 : OPERATION OF PERSONAL TRANSPORT EQUIPMENT 2005=100     ,D7CP
68,"RPI: Ave price - Grapes, per Kg                                         ",CZMU
69,CPI INDEX 12.5.3 : INSURANCE CONNECTED WITH HEALTH: 2005=100            ,D7EQ
70,CPI INDEX 12.5.2 : INSURANCE CONNECTED WITH THE DWELLING 2005=100       ,D7F2
71,"RPI: Ave price - Draught bitter, per pint                               ",CZMT
72,CPI INDEX 09.1.3 : INFORMATION PROCESSING EQUIPMENT 2005=100            ,D7EP
73,"RPI: Ave price - Draught lager, per pint                                ",CZMS
74,"CPI INDEX 09.1.2 : PHOTOGRAPHIC, CINEMATOGRAPHIC & OPTICAL EQUIPMENT 2005=100",D7EO
75,RPI: Ave price - Whisky per nip                                         ,CZMR
76,CPI INDEX 09.1.1 : EQUIPMENT FOR SOUND & PICTUR 2005=100                ,D7EN
77,CPI INDEX 08.2 : TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES 2005=100  ,D7EM
78,RPI: Ave price - Cigarettes 20 king size filter                         ,CZMP
79,"RPI: Ave price - Coal, per 50 Kg                                        ",CZMO
80,RPI: Ave price - Smokeless fuel per 50 Kg                               ,CZMN
81,CPI INDEX 07.3.4 : PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY 2005=100,D7EI
82,"RPI: Ave price - Ultra low sulphur diesel, per litre (Derv prior to Feb 2000)",CZML
83,CPI INDEX 07.3.3 : PASSENGER TRANSPORT BY AIR 2005=100                  ,D7EH
84,"RPI: Ave price - Ultra low sulphur/Unleaded petrol, per litre           ",CZMK
85,CPI INDEX 07.3.2 : PASSENGER TRANSPORT BY ROAD 2005=100                 ,D7EG
86,CPI INDEX 07.3.1 : PASSENGER TRANSPORT BY RAILWAY 2005=100              ,D7EF
87,CPI INDEX 07.2.4 : OTHER SERVICES FOR PERSONAL TRANSPORT EQUIPMENT 2005=100,D7EE
88,CPI INDEX 07.2.3 : MAINTENANCE & REPAIRS 2005=100                       ,D7ED
89,CPI INDEX 07.2.2 : FUELS & LUBRICANTS 2005=100                          ,D7EC
90,CPI INDEX 07.2.1 : SPARE PARTS & ACCESSORIES 2005=100                   ,D7EB
91,CPI INDEX 07.1.2 : MOTOR CYCLES AND BICYCLES 2005=100                   ,D7EA
92,CPI INDEX 05.1.2 : CARPETS & OTHER FLOOR COVERINGS 2005=100             ,D7DZ
93,"CPI INDEX 05.1.1 : FURNITURE, FURNISHINGS 2005=100                      ",D7DY
94,CPI INDEX 07.1.1B : SECOND-HAND CARS 2005=100                           ,D7E9
95,CPI INDEX 04.5.4 : SOLID FUELS 2005=100                                 ,D7DW
96,CPI INDEX 07.1.1A : NEW CARS 2005=100                                   ,D7E8
97,CPI INDEX 04.5.3 : LIQUID FUELS 2005=100                                ,D7DV
98,CPI INDEX 04.5.2 : GAS 2005=100                                         ,D7DU
99,CPI INDEX 05.6.2 : DOMESTIC SERVICES AND HOME CARE SERVICES 2005=100    ,D7E6
100,CPI INDEX 04.5.1 : ELECTRICITY 2005=100                                 ,D7DT
101,CPI INDEX 05.6.1 : NON-DURABLE HOUSEHOLD GOODS 2005=100                 ,D7E5
102,CPI INDEX 05.3.3 : REPAIR OF HOUSEHOLD APPLIANCES 2005=100              ,D7E4
103,CPI INDEX 04.4.1 : WATER SUPPLY 2005=100                                ,D7DR
104,CPI INDEX 05.3.1 : MAJOR HH APPLIANCES & SMALL ELECTRICAL HH APPLIANCES 2005=100,D7E3
105,CPI INDEX 04.4.3 : SEWERAGE COLLECTION 2005=100                         ,D7DQ
106,CPI INDEX 12.7 : OTHER SERVICES NEC 2005=100                            ,D7FR
107,Differences between CPI and RPI - unrounded 2005=100                    ,D7G3
108,"RPI: Ave price - Eggs: size 4 (55-60g), per dozen                       ",CZNU
109,CPI INDEX 12.3.2 : OTHER PERSONAL EFFECTS 2005=100                      ,D7FQ
110,Difference between CPI and RPI - rounded 2005=100                       ,D7G2
111,"RPI :Ave price - Milk: Pasteurised, per pint                            ",CZNT
112,CPI INDEX 12.3.1 : JEWELLERY CLOCKS AND WATCHES 2005=100                ,D7FP
113,CPI INDEX 12.3 : PERSONAL EFFECTS N.E.C. 2005=100                       ,D7FO
114,CPI INDEX 09.6 : PACKAGE HOLIDAY 2005=100                               ,D7FN
115,"RPI: Ave price - Tea bags, per 250g                                     ",CZNQ
116,CPI INDEX 09.5.3 :MISC. PRINTED MATTER STATIONERY & DRAWING MATERIALS 2005=100,D7FM
117,"RPI: Ave price - Coffee: pure, instant, per 100g                        ",CZNP
118,CPI INDEX 09.5.2 : NEWSPAPERS AND PERIODICALS 2005=100                  ,D7FL
119,"RPI: Ave price - Coffee: ground (filter fine), per 227g                 ",CZNO
120,CPI INDEX 09.5.1 : BOOKS 2005=100                                       ,D7FK
121,"RPI: Ave price - Sugar: Granulated, per Kg                              ",CZNN
122,CPI INDEX 09.5 : NEWSPAPERS BOOKS AND STATIONERY 2005=100               ,D7FJ
123,CPI INDEX 09.4.2 : CULTURAL SERVICES 2005=100                           ,D7FI
124,CPI INDEX 09.4.1 : RECREATIONAL AND SPORTING SERVICES 2005=100          ,D7FH
125,"RPI: Ave price - Potatoes, new loose, per Kg                            ",CZNK
126,CPI INDEX 09.3.2 : EQUIPMENT FOR SPORT CAMPING AND OPEN-AIR RECREATION 2005=100,D7FG
127,"RPI: Ave price - Tomatoes, per Kg                                       ",CZNJ
128,CPI INDEX 09.3.1 : GAMES TOYS AND HOBBIES 2005=100                      ,D7FF
129,"RPI: Ave price - Cabbage, hearts, per Kg                                ",CZNH
130,CPI INDEX 09.2.1 : MAJOR DURABLES FOR IN/OUTDOOR RECREATION: 2005=100   ,D7FD
131,"RPI: Ave price - Cauliflower, each                                      ",CZNG
132,CPI INDEX 06.3 : HOSPITAL SERVICES 2005=100                             ,D7FC
133,"RPI: Ave price - Brussel sprouts, per Kg (ends Jan 2007)                ",CZNF
134,CPI INDEX 06.2.2 : DENTAL SERVICES: 2005=100                            ,D7FB
135,"RPI: Ave price - Carrots, per Kg                                        ",CZNE
136,CPI INDEX 06.2.1 : MEDICAL SERVICES AND PARAMEDICAL SERVICES: 2005=100  ,D7FA
137,"RPI: Ave price - Onions, per Kg                                         ",CZND
138,"RPI: Ave price - Mushrooms, per Kg                                      ",CZNC
139,"RPI: Ave price - Cucumber, each                                         ",CZNB
140,"RPI: Ave price - Lettuce - Iceberg, each                                ",CZNA
141,"CPI INDEX 12.1.2 : APPLIANCES, ARTICLES & PRODUCTS FOR PERSONAL CARE 2005=100",D7EZ
142,CPI INDEX 12.1.1 : HAIRDRESSING SALONS & PERSONAL GROOMING ESTABS 2005=100,D7EY
143,CPI INDEX 11.1.2 : CANTEENS 2005=100                                    ,D7EX
144,CPI INDEX 06.2 : OUT-PATIENT SERVICES: 2005=100                         ,D7F9
145,CPI INDEX 11.1.1 : RESTAURANTS & CAFES 2005=100                         ,D7EW
146,CPI INDEX 06.1.2 : OTHER MEDICAL AND THERAPEUTIC EQUIPMENT 2005=100     ,D7F8
147,"RPI: Ave price - Apples, cooking, per Kg                                ",CZMZ
148,CPI INDEX 06.1.1 : PHARMACEUTICAL PRODUCTS 2005=100                     ,D7F7
149,"RPI: Ave price - Apples, dessert, per Kg                                ",CZMY
150,CPI INDEX 09.3.4 : PETS AND RELATED PRODUCTS 2005=100                   ,D7EU
151,CPI INDEX 06.1 : MEDICAL PRODUCTS APPLIANCES AND EQUIPMENT 2005=100     ,D7F6
152,"RPI: Ave price - Pears, dessert, per Kg                                 ",CZMX
153,CPI INDEX 09.3.3 : GARDEN PLANTS AND FLOWERS 2005=100                   ,D7ET
154,CPI INDEX: Services - estimated pre-96 2005=100                         ,D7F5
155,"RPI: Ave price - Oranges, each (per Kg prior to Feb 1988)               ",CZMW
156,CPI INDEX 09.1.4 : RECORDING MEDIA 2005=100                             ,D7ES
157,CPI INDEX: Goods - estimated pre-96 2005=100                            ,D7F4
158,"RPI: Ave price - Bananas, per Kg,                                       ",CZMV
159,"CPI INDEX 09.1.5 :REPAIR OF AUDIO-VISUAL,PHOTO. & DATA PROCESSING EQUIP.2005=100",D7ER
160,CPI INDEX 12.5.4 : INSURANCE CONNECTED WITH TRANSPORT 2005=100          ,D7F3
161,CPI ANNUAL RATE 04.4 : OTHER SERVICES RELATING TO THE DWELLING 2005=100 ,D7GS
162,CPI ANNUAL RATE 07.3 : TRANSPORT SERVICES 2005=100                      ,D7H4
163,CPI ANNUAL RATE 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING 2005=100,D7GR
164,CPI ANNUAL RATE 07.2 : OPERATION OF PERSONAL TRANSPORT EQUIPMENT 2005=100,D7H3
165,"RPI: Ave price - Bacon: Gammon, per Kg                                  ",CZOU
166,CPI ANNUAL RATE 04.1 : ACTUAL RENTS FOR HOUSING 2005=100                ,D7GQ
167,CPI ANNUAL RATE 07.1 : PURCHASE OF VEHICLES 2005=100                    ,D7H2
168,CPI ANNUAL RATE 03.2 : FOOTWEAR INCLUDING REPAIRS 2005=100              ,D7GP
169,CPI ANNUAL RATE 03.1 : CLOTHING 2005=100                                ,D7GO
170,"RPI: Ave price - Ham (not shoulder), per 113g                           ",CZOR
171,CPI ANNUAL RATE 02.2 : TOBACCO 2005=100                                 ,D7GN
172,"RPI: Ave price - Sausages: pork, per Kg                                 ",CZOQ
173,CPI ANNUAL RATE 02.1 : ALCOHOLIC BEVERAGES 2005=100                     ,D7GM
174,CPI ANNUAL RATE 01.2 : NON-ALCOHOLIC BEVERAGES 2005=100                 ,D7GL
175,CPI ANNUAL RATE 01.1 : FOOD 2005=100                                    ,D7GK
176,CPI ANNUAL RATE 12 : MISCELLANEOUS GOODS AND SERVICES- estimated pre-97 2005=100,D7GJ
177,"RPI: Ave price - Chicken: roasting, ovn ready, frsh/chilld, Kg          ",CZOM
178,"CPI ANNUAL RATE 11 : HOTELS, CAFES AND RESTAURANTS- estimated pre-97 2005=100",D7GI
179,"RPI: Ave price - White fish fillets, per Kg (cod prior Feb 02)          ",CZOL
180,CPI ANNUAL RATE 10 : EDUCATION- estimated pre-97 2005=100               ,D7GH
181,CPI ANNUAL RATE 09 : RECREATION & CULTURE- estimated pre-97 2005=100    ,D7GG
182,CPI ANNUAL RATE 08 : COMMUNICATION- estimated pre-97 2005=100           ,D7GF
183,CPI ANNUAL RATE 07 : TRANSPORT- estimated pre-97 2005=100               ,D7GE
184,"RPI: Ave price - Bread: white loaf, sliced, 800g                        ",CZOH
185,CPI ANNUAL RATE 06 : HEALTH- estimated pre-97 2005=100                  ,D7GD
186,"RPI: Ave price - Bread: white loaf, unwrapped, 800g                     ",CZOG
187,"CPI ANNUAL RATE 05 : FURN, HH EQUIP & REPAIR OF THE HOUSE - est. pre-97 2005=100",D7GC
188,"CPI ANNUAL RATE 04 : HOUSING, WATER AND FUELS- est. pre-97 2005=100     ",D7GB
189,CPI ANNUAL RATE 03 : CLOTHING AND FOOTWEAR- estimated pre-97 2005=100   ,D7GA
190,"RPI: Ave price - Flour: self raising, per 1.5 Kg                        ",CZOC
191,"RPI: Ave price - Butter: Home produced, per 250g                        ",CZOB
192,Difference between CPI and RPI due to other differences incl weights 2005=100,D7FX
193,"CPI ANNUAL RATE 02:ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS-est pre-97 2005=100",D7G9
194,Difference between CPI and RPI due to formula effect 2005=100           ,D7FW
195,CPI ANNUAL RATE 01 : FOOD AND NON-ALCOHOLIC BEVERAGES - est. pre-97 2005=100,D7G8
196,Difference between CPI and RPI due to other differences in coverage 2005=100,D7FV
197,CPI All Items: Percentage change over 12 months: Estimated pre-97 2005=100,D7G7
198,Diffs btwn CPI and RPI due to housing comp excl from CPI-other hse comp 2005=100,D7FU
199,Diffs between CPI and RPI due to housing comp excl from CPI - MIPs 2005=100,D7G5
200,"RPI: Ave price - Cheese: cheddar type, per Kg                           ",CZNW
201,Differences between CPI and RPI due to housing comp excl from CPI-total 2005=100,D7G4
202,CPI ANNUAL RATE 02.1.2 : WINE (INC PERRY) 2005=100                      ,D7HT
203,CPI ANNUAL RATE 04.4.1 : WATER SUPPLY 2005=100                          ,D7I5
204,CPI ANNUAL RATE 02.1.1 : SPIRITS 2005=100                               ,D7HS
205,CPI ANNUAL RATE 04.4.3 : SEWERAGE COLLECTION 2005=100                   ,D7I4
206,"CPI ANNUAL RATE 01.2.2 : MINERAL WATERS, SOFT DRINKS AND JUICES 2005=100",D7HR
207,"CPI ANNUAL RATE 01.2.1 : COFFEE, TEA, COCOA 2005=100                    ",D7HQ
208,CPI ANNUAL RATE 04.3.2 : SERVICES FOR THE REGULAR REPAIR OF DWELLING 2005=100,D7I2
209,CPI ANNUAL RATE 01.1.9 : FOOD PRODUCTS 2005=100                         ,D7HP
210,"CPI ANN RATE 01.1.8:SUGAR,JAM,HONEY,SYRUPS,CHOCOLATE & CONFECTIONERY 2005=100",D7HO
211,CPI ANNUAL RATE 01.1.7 : VEGETABLES INCLUDING POTATOES AND OTHER TUBERS 2005=100,D7HN
212,CPI ANNUAL RATE 01.1.6 : FRUIT 2005=100                                 ,D7HM
213,CPI ANNUAL RATE 01.1.5 : OILS & FATS 2005=100                           ,D7HL
214,"CPI ANNUAL RATE 01.1.4 : MILK, CHEESE & EGGS 2005=100                   ",D7HK
215,CPI ANNUAL RATE 01.1.3 : FISH 2005=100                                  ,D7HJ
216,CPI ANNUAL RATE 01.1.2 : MEAT 2005=100                                  ,D7HI
217,CPI ANNUAL RATE 01.1.1 : BREAD & CEREALS 2005=100                       ,D7HH
218,CPI ANNUAL RATE 12.6 : FINANCIAL SERVICES N.E.C. 2005=100               ,D7HG
219,CPI ANNUAL RATE 12.5 : INSURANCE 2005=100                               ,D7HF
220,"RPI: Ave price - Beef: home-killed, best beef mince, per Kg             ",CZPI
221,CPI ANNUAL RATE 12.4 : SOCIAL PROTECTION 2005=100                       ,D7HE
222,Internal purchasing power of the pound (based on RPI): 2002 = 100       ,FAUI
223,"RPI: Ave price - Beef: home-killed, topside, per Kg                     ",CZPH
224,CPI ANNUAL RATE 12.6.2 : FINANCIAL SERVICES N.E.C. 2005=100             ,D7HD
225,CPI ANNUAL RATE 12.1 : PERSONAL CARE 2005=100                           ,D7HC
226,"RPI: Ave price - Beef: home-killed, rump steak, per Kg                  ",CZPF
227,CPI ANNUAL RATE 11.2 : ACCOMMODATION SERVICES 2005=100                  ,D7HB
228,CPI ANNUAL RATE 11.1 : CATERING 2005=100                                ,D7HA
229,"RPI: Ave price - Lamb: home-killed, loin (with bone), per Kg            ",CZPD
230,"RPI: Ave price - Lamb: home-killed, shoulder inc bone, Kg               ",CZPC
231,"RPI: Ave price - Lamb: imported, frozen, loin inc bone, per Kg          ",CZPA
232,CPI ANNUAL RATE 05.6:GOODS & SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE 2005=100,D7GZ
233,CPI ANNUAL RATE 05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN 2005=100,D7GY
234,"CPI ANNUAL RATE 05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS 2005=100",D7GX
235,CPI ANNUAL RATE 09.4 : RECREATIONAL AND CULTURAL SERVICES 2005=100      ,D7H9
236,CPI ANNUAL RATE 05.3 : MAJOR HH APPLIANCES INCLUDING FITTINGS & REPAIR 2005=100,D7GW
237,CPI ANNUAL RATE 09.3 : OTHER RECREATIONAL ITEMS & EQUIP GARDENS & PETS 2005=100,D7H8
238,"RPI: Ave price - Lamb: imported (frozen), leg inc bone, per Kg          ",CZOZ
239,CPI ANNUAL RATE 05.2 : HOUSEHOLD TEXTILES 2005=100                      ,D7GV
240,CPI ANNUAL RATE 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE 2005=100,D7H7
241,"CPI ANNUAL RATE 05.1:FURN, FURNISHINGS,CARPETS & OTHER FLOOR COVERINGS 2005=100",D7GU
242,CPI ANNUAL RATE 09.1 : AUDIO-VISUAL PHOTO AND DATA PROCESSING EQUIP 2005=100,D7H6
243,"RPI: Ave price - Pork: home-killed, loin (with bone), per Kg            ",CZOX
244,"CPI ANNUAL RATE 04.5 : ELECTRICITY, GAS AND OTHER FUELS 2005=100        ",D7GT
245,CPI ANNUAL RATE 08.1 : POSTAL SERVICES 2005=100                         ,D7H5
246,CPI ANNUAL RATE 07.3.4 : PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY 2005=100,D7IU
247,CPI ANNUAL RATE 09.1.4 : RECORDING MEDIA 2005=100                       ,D7J6
248,CPI ANNUAL RATE 07.3.3 : PASSENGER TRANSPORT BY AIR 2005=100            ,D7IT
249,CPI ANNUAL RATE 09.1.5:REPAIR OF A-V PHOTO & DATA PROCESSING EQUIP 2005=100,D7J5
250,CPI ANNUAL RATE 07.3.2 : PASSENGER TRANSPORT BY ROAD 2005=100           ,D7IS
251,CPI ANNUAL RATE 07.3.1 : PASSENGER TRANSPORT BY RAILWAY 2005=100        ,D7IR
252,CPI ANNUAL RATE 09.1.3 : INFORMATION PROCESSING EQUIPMENT 2005=100      ,D7J3
253,CPI ANNUAL RATE 07.2.4 :OTHER SERVICES FOR PERSONAL TRANSPORT EQUIPMENT 2005=100,D7IQ
254,CPI ANNUAL RATE 09.1.2 : PHOTOGRAPHIC CINEMATOGRAPHIC & OPTICAL EQUIP 2005=100,D7J2
255,CPI ANNUAL RATE 07.2.3 : MAINTENANCE & REPAIRS 2005=100                 ,D7IP
256,CPI ANNUAL RATE 07.2.2 : FUELS & LUBRICANTS 2005=100                    ,D7IO
257,CPI ANNUAL RATE 07.2.1 : SPARE PARTS & ACCESSORIES 2005=100             ,D7IN
258,CPI ANNUAL RATE 07.1.2 : MOTOR CYCLES AND BICYCLES 2005=100             ,D7IM
259,CPI ANNUAL RATE 07.1.1B : SECOND-HAND CARS 2005=100                     ,D7IL
260,CPI ANNUAL RATE 07.1.1A : NEW CARS 2005=100                             ,D7IK
261,CPI ANNUAL RATE 05.6.2 : DOMESTIC SERVICES AND HOME CARE SERVICES 2005=100,D7II
262,CPI ANNUAL RATE 05.6.1 : NON-DURABLE HOUSEHOLD GOODS 2005=100           ,D7IH
263,CPI ANNUAL RATE 05.3.3 : REPAIR OF HOUSEHOLD APPLIANCES 2005=100        ,D7IG
264,CPI ANNUAL RATE 05.3.1 : MAJOR HOUSEHOLD AND SMALL ELECTRICAL EQUIPMENT 2005=100,D7IF
265,CPI ANNUAL RATE 05.1.2 : CARPETS & OTHER FLOOR COVERINGS 2005=100       ,D7ID
266,"CPI ANNUAL RATE 05.1.1 : FURNITURE, FURNISHINGS 2005=100                ",D7IC
267,CPI ANNUAL RATE 04.5.4 : SOLID FUELS 2005=100                           ,D7IA
268,CPI ANNUAL RATE 04.3.1 : PRODUCTS FOR THE REGULAR REPAIR OF DWELLING 2005=100,D7HZ
269,"CPI ANNUAL RATE 03.1.4 : DRY-CLEANING, REPAIR AND HIRE OF CLOTHING 2005=100",D7HY
270,CPI ANNUAL RATE 03.1.3 : OTHER ARTICLES OF CLOTHING & ACCESSORIES 2005=100,D7HX
271,CPI ANNUAL RATE 04.5.3 : LIQUID FUELS 2005=100                          ,D7I9
272,CPI ANNUAL RATE 03.1.2 : GARMENTS 2005=100                              ,D7HW
273,CPI ANNUAL RATE 04.5.2 : GAS 2005=100                                   ,D7I8
274,CPI ANNUAL RATE 04.5.1 : ELECTRICITY 2005=100                           ,D7I7
275,CPI ANNUAL RATE 02.1.3 : BEER 2005=100                                  ,D7HU
276,CPI MONTHLY RATE 05.2 : HOUSEHOLD TEXTILES 2005=100                     ,D7K7
277,CPI MONTHLY RATE 01.2 : NON-ALCOHOLIC BEVERAGES 2005=100                ,D7JU
278,"CPI MONTHLY RATE 05.1:FURN, FURNISHINGS,CARPETS & OTHER FLOOR COVERINGS 2005=100",D7K6
279,CPI MONTHLY RATE 01.1 : FOOD 2005=100                                   ,D7JT
280,"CPI MONTHLY RATE 04.5 : ELECTRICITY, GAS AND OTHER FUELS 2005=100       ",D7K5
281,CPI MONTHLY RATE 12 : MISCELLANEOUS GOODS & SERVICES- estimated pre-97 2005=100,D7JS
282,CPI MONTHLY RATE 04.4 : OTHER SERVICES RELATING TO THE DWELLING 2005=100,D7K4
283,"CPI MONTHLY RATE 11 : HOTELS, CAFES AND RESTAURANTS- estimated pre-97 2005=100",D7JR
284,CPI MONTHLY RATE 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING 2005=100,D7K3
285,CPI MONTHLY RATE 10 : EDUCATION- estimated pre-97 2005=100              ,D7JQ
286,CPI MONTHLY RATE 04.1 : ACTUAL RENTS FOR HOUSING 2005=100               ,D7K2
287,CPI MONTHLY RATE 09 : RECREATION & CULTURE- estimated pre-97 2005=100   ,D7JP
288,CPI MONTHLY RATE 08 : COMMUNICATION- estimated pre-97 2005=100          ,D7JO
289,CPI MONTHLY RATE 07 : TRANSPORT- estimated pre-97 2005=100              ,D7JN
290,CPI MONTHLY RATE 06 : HEALTH- estimated pre-97 2005=100                 ,D7JM
291,"CPI MONTHLY RATE 05:FURN, HH EQUIP & REPAIR OF THE HOUSE - est. pre-97 2005=100",D7JL
292,"CPI MONTHLY RATE 04 : HOUSING, WATER AND FUELS- est. pre-97 2005=100    ",D7JK
293,CPI MONTHLY RATE 03 : CLOTHING AND FOOTWEAR- estimated pre-97 2005=100  ,D7JJ
294,"CPI MONTHLY RATE 02:ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS-est pre-97 2005=100",D7JI
