,contacts,description,id,keywords,links,methodologies,next_release,qmi,related_datasets,release_frequency,state,title,national_statistic,type,publications,unit_of_measure,license
10,"[{'email': 'hie@ons.gov.uk', 'name': ""Jeena O'Neill"", 'telephone': '01633 456651'}]","Estimates of mean and median annual incomes in the UK, by quintile groups.
The redistribution effects on individuals of direct and indirect taxation and benefits received in cash or kind.",tax-benefits-statistics,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/tax-benefits-statistics/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/tax-benefits-statistics/editions/time-series/versions/2', 'id': '2'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/tax-benefits-statistics'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/economy/governmentpublicsectorandtaxes/taxesandrevenue'}}",,TBA,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/methodologies/theeffectsoftaxesandbenefitsonukhouseholdincome'},,Annual,published,Effects of Taxes and Benefits on Household Income,,,,,
11,"[{'email': 'health.data@ons.gov.uk', 'name': 'Rabiya Nasir, Emyr John and David Mais', 'telephone': '+44 1633 456501'}]","Number of suicides by local authority in England and Wales, registered from 2001.

If you are struggling to cope, please call Samaritans for free on 116 123 (UK and ROI) or contact other sources of support, such as those listed on the NHS’s help for suicidal thoughts webpage. Support is available round the clock, every single day of the year, providing a safe place for anyone struggling to cope, whoever they are, however they feel, whatever life has done to them.",suicides-in-the-uk,"['suicide', 'mortality']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/suicides-in-the-uk/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/suicides-in-the-uk/editions/2021/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/suicides-in-the-uk'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths'}}","[{'href': 'https://www.samaritans.org/', 'title': 'Samaritans'}, {'href': 'https://www.nhs.uk/mental-health/feelings-symptoms-behaviours/behaviours/help-for-suicidal-thoughts/', 'title': 'Help for suicidal thoughts'}]",To be announced,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/suicideratesintheukqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/latest', 'title': 'Suicides in England and Wales'}]",Annually,published,Suicide registrations in England and Wales by local authority,TRUE,,,,
12,"[{'email': 'pop.info@ons.gov.uk', 'name': 'Amanda Sharfman and Pamela Cobb', 'telephone': '+44 (0)1329 444661'}]","Sexual orientation in the UK from 2012 to 2020 by region.

Data source: Annual Population Survey, ONS
",sexual-orientation-by-region,"['gay', 'lesbian,bisexual,straight,LGB']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-region/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-region/editions/time-series/versions/2', 'id': '2'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-region'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/culturalidentity/sexuality'}}",,To be announced,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/sexuality/methodologies/sexualidentityukqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/sexuality/datasets/sexualidentityuk', 'title': 'Sexual orientation, UK, dataset'}]",Annual,published,Sexual orientation by English regions and UK countries,,filterable,"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/sexuality/bulletins/sexualidentityuk/2020', 'title': 'Sexual orientation, UK'}]",Number of people (thousands) and percentage,
13,"[{'email': 'pop.info@ons.gov.uk', 'name': 'Amanda Sharfman and Pamela Cobb', 'telephone': '+44 (0)1329 444661'}]","Sexual orientation in the UK by sex and age, 2014 to 2020.

Source: Annual Population Survey, ONS",sexual-orientation-by-age-and-sex,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-age-and-sex/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-age-and-sex/editions/time-series/versions/2', 'id': '2'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-age-and-sex'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/culturalidentity/sexuality'}}",,To be announced,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/sexuality/methodologies/sexualidentityukqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/sexuality/datasets/sexualidentityuk', 'title': 'Sexual orientation, UK dataset'}]",Annual,published,Sexual orientation by age and sex,,filterable,"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/sexuality/bulletins/sexualidentityuk/2020', 'title': 'Sexual orientation, UK'}]",Number of people (thousands) and percentage,
14,"[{'email': 'retail.sales.enquiries@ons.gov.uk', 'name': 'Rhys Lewis', 'telephone': '+44 1633 455602'}]",Value and volume of retail sales broken down by size of business,retail-sales-index-large-and-small-businesses,"['RSI', 'internet sales,goods bought,buying,spending']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-large-and-small-businesses/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-large-and-small-businesses/editions/time-series/versions/5', 'id': '5'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-large-and-small-businesses'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/retailindustry'}}",,16-Sep-22,{'href': 'https://www.ons.gov.uk/businessindustryandtrade/retailindustry/methodologies/retailsalesindexrsiqmi'},,Monthly,published,Retail sales index - large and small businesses,,filterable,,2019=100,
15,"[{'email': 'retail.sales.enquiries@ons.gov.uk', 'name': 'Rhys Lewis', 'telephone': '+44 1633 455602'}]",Value and volume of retail sales for all businesses.,retail-sales-index-all-businesses,"['RSI', 'internet sales,goods bought,buying,spending']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-all-businesses/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-all-businesses/editions/time-series/versions/5', 'id': '5'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-all-businesses'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/retailindustry'}}",,16-Sep-22,{'href': 'https://www.ons.gov.uk/businessindustryandtrade/retailindustry/methodologies/retailsalesindexrsiqmi'},,Monthly,published,Retail sales index - all businesses,,filterable,,2019=100,
16,"[{'email': 'retail.sales.enquiries@ons.gov.uk', 'name': 'Rhys Lewis', 'telephone': '+44 1633 455602'}]","Retail sales data for Great Britain in value and volume terms, seasonally and non-seasonally adjusted.",retail-sales-index,"['RSI', 'internet sales,goods bought,buying,spending']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index/editions/time-series/versions/5', 'id': '5'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/retailindustry'}}",,16-Sep-22,{'href': 'https://www.ons.gov.uk/businessindustryandtrade/retailindustry/methodologies/retailsalesindexrsiqmi'},,Monthly,published,Retail sales index,,filterable,,2019=100,
17,"[{'email': 'regionalgdp@ons.gov.uk', 'name': 'Laura Requena', 'telephone': '+44 (0)1633 456752'}]","Annual economic activity within England, Wales and the nine English regions (North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, Greater London, South East, South West).",regional-gdp-by-year,['regional GDP'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-year/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-year/editions/time-series/versions/4', 'id': '4'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-year'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/economy/grossdomesticproductgdp'}}",,03-Aug-21,{'href': 'http://www.ons.gov.uk/economy/grossdomesticproductgdp/methodologies/introducinggdpforthecountriesoftheukandtheregionsofengland'},,Annual,published,"Annual GDP for England, Wales and the English regions",,,,,
18,"[{'email': 'regionalgdp@ons.gov.uk', 'name': 'Laura Requena', 'telephone': '+44 (0)1633 456752'}]","Quarterly economic activity within England, Wales and the nine English regions (North East, North West, Yorkshire and The Humber, East Midlands, West Midlands, East of England, London, South East, South West).",regional-gdp-by-quarter,['regional GDP'],"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-quarter/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-quarter/editions/time-series/versions/4', 'id': '4'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-quarter'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/economy/grossdomesticproductgdp'}}",,03-Aug-21,{'href': 'https://www.ons.gov.uk/economy/grossdomesticproductgdp/methodologies/introducinggdpforthecountriesoftheukandtheregionsofengland'},,Quarterly,published,"Quarterly GDP for England, Wales and the English regions",,,,,
19,"[{'email': 'pop.info@ons.gov.uk', 'name': 'Population Statistics Division', 'telephone': '+44 (0)1329 444661'}]","Projected indicators included are derived from the published 2018-based subnational population projections for England, Wales, Scotland and Northern Ireland up to the year 2043. The indicators are the projected sex ratio for those aged 65 years and over and the projected sex ratio for those aged 85 years and over. A sex ratio shows the number of males in the population for every 100 females.

This dataset has been produced by the Ageing Analysis Team for inclusion in the subnational ageing tool, which was published on July 20, 2020 (see link in Related datasets). The tool is interactive, and users can compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. 

Note on data sources: England, Wales, Scotland and Northern Ireland independently publish subnational population projections and the data available here are a compilation of these datasets. The ONS publish national level data for the UK, England, Wales and England & Wales, which has been included. National level data for Scotland and Northern Ireland have been taken from their subnational population projections datasets.",projections-older-people-sex-ratios,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-sex-ratios/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-sex-ratios/editions/time-series/versions/1', 'id': '1'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-sex-ratios'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/ageing'}}","[{'href': 'https://www.nrscotland.gov.uk/files//statistics/population-projections/sub-national-pp-18/pop-proj-principal-18-methodology.pdf', 'title': 'Scotland Methodology Guide'}, {'href': 'https://gov.wales/population-and-household-statistics-technical-information', 'title': 'Wales technical information'}, {'href': 'https://www.nisra.gov.uk/sites/nisra.gov.uk/files/publications/SNPP18-Methodology.pdf', 'title': 'Northern Ireland methodology paper'}]",To be announced,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationprojections/methodologies/subnationalpopulationprojectionsqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationprojections/bulletins/subnationalpopulationprojectionsforengland/2018based', 'title': 'Subnational population projections for England: 2018-based'}, {'href': 'https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/population/population-projections/sub-national-population-projections/2018-based', 'title': 'Population Projections for Scottish Areas (2018-based)'}, {'href': 'https://gov.wales/subnational-population-projections-2018-based', 'title': 'Wales Subnational population projections (local authority): 2018-based'}, {'href': 'https://www.nisra.gov.uk/publications/2018-based-population-projections-areas-within-northern-ireland', 'title': '2018-based Population Projections for Areas within Northern Ireland'}, {'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/ageing/articles/subnationalageingtool/2020-07-20', 'title': 'Subnational ageing tool'}]",Biennial,published,"Local authority ageing statistics, projected sex ratios for older people",,,,,
20,"[{'email': 'pop.info@ons.gov.uk', 'name': 'Population Statistics Division', 'telephone': '+44 (0)1329 444661'}]","Projected indicators included are derived from the published 2018-based household projections for England and 2018-based household projections for Scotland for the years 2018 up to 2043. The indicators are the percentage of one-person households, in which the householder is aged 65 years and over and the percentage of one-person households, in which the householder is aged 85 years and over. This dataset has been produced by the Ageing Analysis Team for inclusion in the subnational ageing tool, which was published on July 20, 2020 (see link in Related datasets). The tool is interactive, and users can compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. Note on data availability: England, Wales, Scotland and Northern Ireland independently publish subnational household projections. Each country publishes a different set of age breakdowns and only England and Scotland provide the breakdowns required to calculate the indicators included above.",projections-older-people-in-single-households,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-in-single-households/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-in-single-households/editions/time-series/versions/2', 'id': '2'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-in-single-households'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/peoplepopulationandcommunity/birthsdeathsandmarriages/ageing'}}","[{'href': 'https://www.nrscotland.gov.uk/files/statistics/household-projections/18/household-proj-18-report.pdf', 'title': 'Household Projections for Scotland sources and methods (Section 8)'}, {'description': 'While there are many similarities in the methods used to produce household estimates and projections for the four countries of the UK, there are some important differences between the methods used and these affect the comparability of the results. The similarities between the methodologies mean that it is possible to broadly compare the results for the four countries. Although, users should be aware that any differences may be partly because of the different methods used to produce the projection results.', 'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationprojections/methodologies/householdprojectionsacrosstheukuserguide', 'title': 'Household projections across the UK: user guide'}]",To be announced,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationprojections/methodologies/householdprojectionsinenglandqmi'},"[{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationprojections/datasets/householdprojectionsforengland', 'title': 'Household projections in England: 2018-based'}, {'href': 'https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/households/household-projections/2018-based-household-projections', 'title': 'Household projections for Scotland, 2018 based'}, {'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/ageing/articles/subnationalageingtool/2020-07-20', 'title': 'Subnational ageing tool'}]",Biennial,published,"Local authority ageing statistics, household projections for older people",,,,,
21,"[{'email': 'construction.statistics@ons.gov.uk', 'name': 'John Allcoat', 'telephone': '+44 1633 456344'}]","Monthly construction output for Great Britain at current price and chained volume measures, seasonally adjusted by public and private sector.",output-in-the-construction-industry,"['infrastructure', 'public housing,private housing,non–housing,repairs and maintenance']","{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/output-in-the-construction-industry/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/output-in-the-construction-industry/editions/time-series/versions/10', 'id': '10'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/output-in-the-construction-industry'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/constructionindustry'}}",,12-Oct-22,{'href': 'https://www.ons.gov.uk/businessindustryandtrade/constructionindustry/qmis/constructionoutputqmi'},,Monthly,published,Output in the construction industry,,filterable,"[{'href': 'https://www.ons.gov.uk/businessindustryandtrade/constructionindustry/bulletins/constructionoutputingreatbritain/latest', 'title': 'Construction Output in Great Britain'}]",,
22,"[{'email': 'vacancy.survey@ons.gov.uk', 'name': ""Emelia D'Silva-Parker"", 'telephone': '+44 1633 455120'}]",Experimental job advert indices covering the UK job market.,online-job-advert-estimates,,"{'editions': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/online-job-advert-estimates/editions'}, 'latest_version': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/online-job-advert-estimates/editions/feb-2020-index-by-category/versions/68', 'id': '68'}, 'self': {'href': 'https://api.beta.ons.gov.uk/v1/datasets/online-job-advert-estimates'}, 'taxonomy': {'href': 'https://api.beta.ons.gov.uk/v1/businessindustryandtrade/business/activitysizeandlocation'}}",,15-Sep-22,{'href': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/usingadzunadatatoderiveanindicatorofweeklyvacanciesexperimentalstatistics'},,Weekly,published,Faster Indicators - Online Job Advert Estimates,,,,,
